GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GNW001
"G1200610","2000","US","3","5","Florida","12","Indian River","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1303362423","294451401","Indian River County","A","+27695124","-080454056","06",,,27227
"G1200630","2000","US","3","5","Florida","12","Jackson","063",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2371508002","100851072","Jackson County","A","+30769903","-085241124","06",,,13905
"G1200650","2000","US","3","5","Florida","12","Jefferson","065",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1548129422","100780141","Jefferson County","A","+30510187","-083884229","06",,,17006
"G1200670","2000","US","3","5","Florida","12","Lafayette","067",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1405937770","13170086","Lafayette County","A","+30001430","-083183264","06",,,13087
"G1200690","2000","US","3","5","Florida","12","Lake","069",,,,,"0",,,,,,,,,,,,,"5960","99","N","9999","9999","9",,,,,,,,,"2468647214","526411252","Lake County","A","+28795924","-081747696","06",,,20199
"G1200710","2000","US","3","5","Florida","12","Lee","071",,,,,"0",,,,,,,,,,,,,"2700","99","N","9999","9999","9",,,,,,,,,"2081393117","1057384871","Lee County","A","+26602541","-081846262","06",,,24542
"G1200730","2000","US","3","5","Florida","12","Leon","073",,,,,"0",,,,,,,,,,,,,"8240","99","N","9999","9999","9",,,,,,,,,"1726848272","90760963","Leon County","A","+30462933","-084260888","06",,,21024
"G1200750","2000","US","3","5","Florida","12","Levy","075",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2896589908","761301417","Levy County","A","+29330144","-082707810","06",,,14746
"G1200770","2000","US","3","5","Florida","12","Liberty","077",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2164882043","18891526","Liberty County","A","+30285745","-084883242","06",,,17225
"G1200790","2000","US","3","5","Florida","12","Madison","079",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1791740566","62171851","Madison County","A","+30443902","-083425800","06",,,12511
"G1200810","2000","US","3","5","Florida","12","Manatee","081",,,,,"0",,,,,,,,,,,,,"7510","99","N","9999","9999","9",,,,,,,,,"1919250962","392948270","Manatee County","A","+27487817","-082549069","06",,,22388
"G1200830","2000","US","3","5","Florida","12","Marion","083",,,,,"0",,,,,,,,,,,,,"5790","99","N","9999","9999","9",,,,,,,,,"4089224040","217955919","Marion County","A","+29142855","-082114602","06",,,17848
"G1200850","2000","US","3","5","Florida","12","Martin","085",,,,,"0",,,,,,,,,,,,,"2710","99","N","9999","9999","9",,,,,,,,,"1439037748","510686877","Martin County","A","+27132403","-080255862","06",,,29584
"G1200860","2000","US","3","5","Florida","12","Miami-Dade","086",,,,,"0",,,,,,,,,,,,,"4992","56","N","5000","9999","9",,,,,,,,,"5040281893","1256644967","Miami-Dade County","A","+25756427","-080302264","06",,,18497
"G1200870","2000","US","3","5","Florida","12","Monroe","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2581997405","7097188635","Monroe County","A","+24777558","-081228495","06",,,26102
"G1200890","2000","US","3","5","Florida","12","Nassau","089",,,,,"0",,,,,,,,,,,,,"3600","99","N","9999","9999","9",,,,,,,,,"1687510883","192448901","Nassau County","A","+30623401","-081704762","06",,,22836
"G1200910","2000","US","3","5","Florida","12","Okaloosa","091",,,,,"0",,,,,,,,,,,,,"2750","99","N","9999","9999","9",,,,,,,,,"2423260572","379107044","Okaloosa County","A","+30642029","-086562467","06",,,20918
"G1200930","2000","US","3","5","Florida","12","Okeechobee","093",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2004504057","304661835","Okeechobee County","A","+27325250","-080870875","06",,,14553
"G1200950","2000","US","3","5","Florida","12","Orange","095",,,,,"0",,,,,,,,,,,,,"5960","99","N","9999","9999","9",,,,,,,,,"2350283150","250554236","Orange County","A","+28547129","-081404159","06",,,20916
"G1200970","2000","US","3","5","Florida","12","Osceola","097",,,,,"0",,,,,,,,,,,,,"5960","99","N","9999","9999","9",,,,,,,,,"3423712812","477727771","Osceola County","A","+28231941","-081319710","06",,,17022
"G1200990","2000","US","3","5","Florida","12","Palm Beach","099",,,,,"0",,,,,,,,,,,,,"8960","99","N","9999","9999","9",,,,,,,,,"5112913099","1067653854","Palm Beach County","A","+26637745","-080176395","06",,,28801
"G1201010","2000","US","3","5","Florida","12","Pasco","101",,,,,"0",,,,,,,,,,,,,"8280","99","N","9999","9999","9",,,,,,,,,"1929148020","318836906","Pasco County","A","+28276153","-082496887","06",,,18439
"G1201030","2000","US","3","5","Florida","12","Pinellas","103",,,,,"0",,,,,,,,,,,,,"8280","99","N","9999","9999","9",,,,,,,,,"724980947","848878459","Pinellas County","A","+27889647","-082727766","06",,,23497
"G1201050","2000","US","3","5","Florida","12","Polk","105",,,,,"0",,,,,,,,,,,,,"3980","99","N","9999","9999","9",,,,,,,,,"4854625486","351212963","Polk County","A","+27992436","-081758303","06",,,18302
"G1201070","2000","US","3","5","Florida","12","Putnam","107",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1869686461","272651326","Putnam County","A","+29597982","-081758508","06",,,15603
"G1201090","2000","US","3","5","Florida","12","St Johns","109",,,,,"0",,,,,,,,,,,,,"3600","99","N","9999","9999","9",,,,,,,,,"1577327360","550159510","St. Johns County","A","+29881862","-081358139","06",,,28674
"G1201110","2000","US","3","5","Florida","12","St Lucie","111",,,,,"0",,,,,,,,,,,,,"2710","99","N","9999","9999","9",,,,,,,,,"1482625971","299484165","St. Lucie County","A","+27348246","-080360875","06",,,18790
"G1201130","2000","US","3","5","Florida","12","Santa Rosa","113",,,,,"0",,,,,,,,,,,,,"6080","99","N","9999","9999","9",,,,,,,,,"2633826493","405710830","Santa Rosa County","A","+30614138","-087021807","06",,,20089
"G1201150","2000","US","3","5","Florida","12","Sarasota","115",,,,,"0",,,,,,,,,,,,,"7510","99","N","9999","9999","9",,,,,,,,,"1480309966","397909102","Sarasota County","A","+27164930","-082398881","06",,,28326
"G1201170","2000","US","3","5","Florida","12","Seminole","117",,,,,"0",,,,,,,,,,,,,"5960","99","N","9999","9999","9",,,,,,,,,"798244204","94967916","Seminole County","A","+28709909","-081310831","06",,,24591
"G1201190","2000","US","3","5","Florida","12","Sumter","119",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1413432149","89572882","Sumter County","A","+28770086","-082075542","06",,,16830
"G1201210","2000","US","3","5","Florida","12","Suwannee","121",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1780979161","11028541","Suwannee County","A","+30191684","-082985391","06",,,14678
"G1201230","2000","US","3","5","Florida","12","Taylor","123",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2698539748","492349029","Taylor County","A","+30053738","-083585228","06",,,15281
"G1201250","2000","US","3","5","Florida","12","Union","125",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"622336384","24406640","Union County","A","+30028050","-082367222","06",,,12333
"G1201270","2000","US","3","5","Florida","12","Volusia","127",,,,,"0",,,,,,,,,,,,,"2020","99","N","9999","9999","9",,,,,,,,,"2857403499","852587118","Volusia County","A","+29049037","-081138947","06",,,19664
"G1201290","2000","US","3","5","Florida","12","Wakulla","129",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1571240075","334318736","Wakulla County","A","+30144620","-084366174","06",,,17678
"G1201310","2000","US","3","5","Florida","12","Walton","131",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2739071253","467406411","Walton County","A","+30637995","-086155962","06",,,18198
"G1201330","2000","US","3","5","Florida","12","Washington","133",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1502009565","92878415","Washington County","A","+30630591","-085638396","06",,,14980
"G1300010","2000","US","3","5","Georgia","13","Appling","001",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1317027712","9338010","Appling County","A","+31745647","-082319207","06",,,15044
"G1300030","2000","US","3","5","Georgia","13","Atkinson","003",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"875528174","15679065","Atkinson County","A","+31301054","-082867921","06",,,12178
"G1300050","2000","US","3","5","Georgia","13","Bacon","005",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"738015457","2509334","Bacon County","A","+31553477","-082458418","06",,,14289
"G1300070","2000","US","3","5","Georgia","13","Baker","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"888935400","15408095","Baker County","A","+31335757","-084405081","06",,,16969
"G1300090","2000","US","3","5","Georgia","13","Baldwin","009",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"669369760","23444397","Baldwin County","A","+33082610","-083238994","06",,,16271
"G1300110","2000","US","3","5","Georgia","13","Banks","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"605204930","517217","Banks County","A","+34349978","-083513176","06",,,17424
"G1300130","2000","US","3","5","Georgia","13","Barrow","013",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"420019739","1734931","Barrow County","A","+33994618","-083721626","06",,,18350
"G1300150","2000","US","3","5","Georgia","13","Bartow","015",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"1189906958","27677917","Bartow County","A","+34212295","-084825869","06",,,18989
"G1300170","2000","US","3","5","Georgia","13","Ben Hill","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"652144451","5785209","Ben Hill County","A","+31731859","-083251409","06",,,14093
"G1300190","2000","US","3","5","Georgia","13","Berrien","019",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1171745138","13900427","Berrien County","A","+31233031","-083226392","06",,,16375
"G1300210","2000","US","3","5","Georgia","13","Bibb","021",,,,,"0",,,,,,,,,,,,,"4680","99","N","9999","9999","9",,,,,,,,,"647399370","13387893","Bibb County","A","+32829689","-083665205","06",,,19058
"G1300230","2000","US","3","5","Georgia","13","Bleckley","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"563050373","4511008","Bleckley County","A","+32403725","-083335104","06",,,15934
"G1300250","2000","US","3","5","Georgia","13","Brantley","025",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1150992836","7810127","Brantley County","A","+31200683","-081997335","06",,,13713
"G1300270","2000","US","3","5","Georgia","13","Brooks","027",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1278473476","10740729","Brooks County","A","+30850636","-083576739","06",,,13977
"G1300290","2000","US","3","5","Georgia","13","Bryan","029",,,,,"0",,,,,,,,,,,,,"7520","99","N","9999","9999","9",,,,,,,,,"1144024867","33097452","Bryan County","A","+32050651","-081440858","06",,,19794
"G1300310","2000","US","3","5","Georgia","13","Bulloch","031",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1766557928","17524610","Bulloch County","A","+32415900","-081781930","06",,,16080
"G1300330","2000","US","3","5","Georgia","13","Burke","033",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2150910202","11700789","Burke County","A","+33054157","-082006464","06",,,13136
"G1300350","2000","US","3","5","Georgia","13","Butts","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"483324085","8809350","Butts County","A","+33296354","-083959538","06",,,17016
"G1300370","2000","US","3","5","Georgia","13","Calhoun","037",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"725665602","8777274","Calhoun County","A","+31518459","-084653985","06",,,11839
"G1300390","2000","US","3","5","Georgia","13","Camden","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1631466106","395263101","Camden County","A","+30868376","-081654945","06",,,16445
"G1300430","2000","US","3","5","Georgia","13","Candler","043",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"639404362","5017587","Candler County","A","+32407215","-082057541","06",,,12958
"G1300450","2000","US","3","5","Georgia","13","Carroll","045",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"1292230426","12674729","Carroll County","A","+33604420","-085074706","06",,,17656
"G1300470","2000","US","3","5","Georgia","13","Catoosa","047",,,,,"0",,,,,,,,,,,,,"1560","99","N","9999","9999","9",,,,,,,,,"420162010","1138014","Catoosa County","A","+34925169","-085173765","06",,,18009
"G1300490","2000","US","3","5","Georgia","13","Charlton","049",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2022186864","5694136","Charlton County","A","+30782826","-082050932","06",,,12920
"G1300510","2000","US","3","5","Georgia","13","Chatham","051",,,,,"0",,,,,,,,,,,,,"7520","99","N","9999","9999","9",,,,,,,,,"1134710329","502896640","Chatham County","A","+32047559","-081107165","06",,,21152
"G1300530","2000","US","3","5","Georgia","13","Chattahoochee","053",,,,,"0",,,,,,,,,,,,,"1800","99","N","9999","9999","9",,,,,,,,,"644309946","6212093","Chattahoochee County","A","+32301665","-084776205","06",,,14049
"G1300550","2000","US","3","5","Georgia","13","Chattooga","055",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"811515241","587717","Chattooga County","A","+34481702","-085354332","06",,,14508
"G1300570","2000","US","3","5","Georgia","13","Cherokee","057",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"1097320817","26695297","Cherokee County","A","+34209120","-084484272","06",,,24871
"G1300590","2000","US","3","5","Georgia","13","Clarke","059",,,,,"0",,,,,,,,,,,,,"0500","99","N","9999","9999","9",,,,,,,,,"312847519","1275394","Clarke County","N","+33954747","-083380111","06",,,17123
"G1300610","2000","US","3","5","Georgia","13","Clay","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"505586964","56426278","Clay County","A","+31621252","-084992877","06",,,16819
"G1300630","2000","US","3","5","Georgia","13","Clayton","063",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"369388178","4293049","Clayton County","A","+33566178","-084365597","06",,,18079
"G1300650","2000","US","3","5","Georgia","13","Clinch","065",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2096046195","38551013","Clinch County","A","+30945683","-082716673","06",,,13023
"G1300670","2000","US","3","5","Georgia","13","Cobb","067",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"880984209","11292420","Cobb County","A","+33935535","-084559283","06",,,27863
"G1300690","2000","US","3","5","Georgia","13","Coffee","069",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1551133471","9626248","Coffee County","A","+31537784","-082839769","06",,,15530
"G1300710","2000","US","3","5","Georgia","13","Colquitt","071",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1430367856","11086913","Colquitt County","A","+31185419","-083779654","06",,,14457
"G1300730","2000","US","3","5","Georgia","13","Columbia","073",,,,,"0",,,,,,,,,,,,,"0600","99","N","9999","9999","9",,,,,,,,,"751134157","46005514","Columbia County","A","+33512018","-082174583","06",,,23496
"G1300750","2000","US","3","5","Georgia","13","Cook","075",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"593153947","10886080","Cook County","A","+31154793","-083429366","06",,,13465
"G1300770","2000","US","3","5","Georgia","13","Coweta","077",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"1146372957","8704774","Coweta County","A","+33355881","-084752167","06",,,21949
"G1300790","2000","US","3","5","Georgia","13","Crawford","079",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"841764778","3743382","Crawford County","A","+32709958","-083977831","06",,,15768
"G1300810","2000","US","3","5","Georgia","13","Crisp","081",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"709186204","19108995","Crisp County","A","+31935851","-083767514","06",,,14695
"G1300830","2000","US","3","5","Georgia","13","Dade","083",,,,,"0",,,,,,,,,,,,,"1560","99","N","9999","9999","9",,,,,,,,,"450600975","469902","Dade County","A","+34863615","-085501646","06",,,16127
"G1300850","2000","US","3","5","Georgia","13","Dawson","085",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"546583978","7502633","Dawson County","A","+34422163","-084126625","06",,,22520
"G1300870","2000","US","3","5","Georgia","13","Decatur","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1545700986","68275469","Decatur County","A","+30884222","-084570363","06",,,15063
"G1300890","2000","US","3","5","Georgia","13","DeKalb","089",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"694649134","6998847","DeKalb County","A","+33790944","-084257680","06",,,23968
"G1300910","2000","US","3","5","Georgia","13","Dodge","091",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1295735235","7465229","Dodge County","A","+32180813","-083166914","06",,,14468
"G1300930","2000","US","3","5","Georgia","13","Dooly","093",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1017551127","10849212","Dooly County","A","+32160150","-083793948","06",,,13628
"G1300950","2000","US","3","5","Georgia","13","Dougherty","095",,,,,"0",,,,,,,,,,,,,"0120","99","N","9999","9999","9",,,,,,,,,"853658496","13051563","Dougherty County","A","+31572874","-084163206","06",,,16645
"G1300970","2000","US","3","5","Georgia","13","Douglas","097",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"516182640","2476542","Douglas County","A","+33736475","-084731971","06",,,21172
"G1300990","2000","US","3","5","Georgia","13","Early","099",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1324085913","13048671","Early County","A","+31311249","-084936136","06",,,14936
"G1301010","2000","US","3","5","Georgia","13","Echols","101",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1046682366","43180835","Echols County","A","+30706915","-082937455","06",,,15727
"G1301030","2000","US","3","5","Georgia","13","Effingham","103",,,,,"0",,,,,,,,,,,,,"7520","99","N","9999","9999","9",,,,,,,,,"1241677488","8817701","Effingham County","A","+32340699","-081329476","06",,,18873
"G1301050","2000","US","3","5","Georgia","13","Elbert","105",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"955071595","14971054","Elbert County","A","+34129674","-082874725","06",,,14535
"G1301070","2000","US","3","5","Georgia","13","Emanuel","107",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1776185016","11754659","Emanuel County","A","+32591877","-082295417","06",,,13627
"G1301090","2000","US","3","5","Georgia","13","Evans","109",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"478943937","5072138","Evans County","A","+32161606","-081907769","06",,,12758
"G1301110","2000","US","3","5","Georgia","13","Fannin","111",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"999062000","14734795","Fannin County","A","+34886639","-084304223","06",,,16269
"G1301130","2000","US","3","5","Georgia","13","Fayette","113",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"510355880","5697102","Fayette County","A","+33428956","-084505305","06",,,29464
"G1301150","2000","US","3","5","Georgia","13","Floyd","115",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1329001018","13808242","Floyd County","A","+34254872","-085198384","06",,,17808
"G1301170","2000","US","3","5","Georgia","13","Forsyth","117",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"584807414","55876126","Forsyth County","A","+34210436","-084121129","06",,,29114
"G1301190","2000","US","3","5","Georgia","13","Franklin","119",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"681929947","7955593","Franklin County","A","+34378007","-083176830","06",,,15767
"G1301210","2000","US","3","5","Georgia","13","Fulton","121",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"1369218041","15421403","Fulton County","A","+33779605","-084419327","06",,,30003
"G1301230","2000","US","3","5","Georgia","13","Gilmer","123",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1105114210","13322355","Gilmer County","A","+34680909","-084462723","06",,,17147
"G1301250","2000","US","3","5","Georgia","13","Glascock","125",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"373322474","804001","Glascock County","A","+33230816","-082599894","06",,,14185
"G1301270","2000","US","3","5","Georgia","13","Glynn","127",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1093928025","421657505","Glynn County","A","+31187633","-081496294","06",,,21707
"G1301290","2000","US","3","5","Georgia","13","Gordon","129",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"920832558","6417197","Gordon County","A","+34498813","-084903478","06",,,17586
"G1301310","2000","US","3","5","Georgia","13","Grady","131",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1186536922","5741618","Grady County","A","+30878254","-084230092","06",,,14278
"G1301330","2000","US","3","5","Georgia","13","Greene","133",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1005631089","46519241","Greene County","A","+33562299","-083157643","06",,,23389
"G1301350","2000","US","3","5","Georgia","13","Gwinnett","135",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"1120765173","10330244","Gwinnett County","A","+33967056","-084058446","06",,,25006
"G1301370","2000","US","3","5","Georgia","13","Habersham","137",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"720457202","2655014","Habersham County","A","+34570250","-083535083","06",,,17706
"G1301390","2000","US","3","5","Georgia","13","Hall","139",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1019569684","92027130","Hall County","A","+34296799","-083842959","06",,,19690
"G1301410","2000","US","3","5","Georgia","13","Hancock","141",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1225799782","14187039","Hancock County","A","+33260235","-083006476","06",,,10916
"G1301430","2000","US","3","5","Georgia","13","Haralson","143",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"730665981","2722186","Haralson County","A","+33761217","-085196688","06",,,15823
"G1301450","2000","US","3","5","Georgia","13","Harris","145",,,,,"0",,,,,,,,,,,,,"1800","99","N","9999","9999","9",,,,,,,,,"1200957325","23935358","Harris County","A","+32736893","-084896839","06",,,21680
"G1301470","2000","US","3","5","Georgia","13","Hart","147",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"601418422","62702783","Hart County","A","+34360857","-082968511","06",,,16714
"G1301490","2000","US","3","5","Georgia","13","Heard","149",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"766707720","13098708","Heard County","A","+33308636","-085118515","06",,,15132
"G1301510","2000","US","3","5","Georgia","13","Henry","151",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"835819604","4575051","Henry County","A","+33470734","-084183775","06",,,22945
"G1301530","2000","US","3","5","Georgia","13","Houston","153",,,,,"0",,,,,,,,,,,,,"4680","99","N","9999","9999","9",,,,,,,,,"975779569","7966959","Houston County","A","+32558055","-083663234","06",,,19515
"G1301550","2000","US","3","5","Georgia","13","Irwin","155",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"924128425","15329022","Irwin County","A","+31608582","-083284078","06",,,14867
"G1301570","2000","US","3","5","Georgia","13","Jackson","157",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"886713334","1644714","Jackson County","A","+34146502","-083555602","06",,,17808
"G1301590","2000","US","3","5","Georgia","13","Jasper","159",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"959391323","8180918","Jasper County","A","+33341969","-083697866","06",,,19249
"G1301610","2000","US","3","5","Georgia","13","Jeff Davis","161",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"863463103","5279133","Jeff Davis County","A","+31830567","-082619624","06",,,13780
"G1301630","2000","US","3","5","Georgia","13","Jefferson","163",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1366607272","4943795","Jefferson County","A","+33054128","-082415148","06",,,13491
"G1301650","2000","US","3","5","Georgia","13","Jenkins","165",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"905996073","6843779","Jenkins County","A","+32795782","-081968659","06",,,13400
"G1301670","2000","US","3","5","Georgia","13","Johnson","167",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"788037039","5842063","Johnson County","A","+32690626","-082653800","06",,,12384
"G1301690","2000","US","3","5","Georgia","13","Jones","169",,,,,"0",,,,,,,,,,,,,"4680","99","N","9999","9999","9",,,,,,,,,"1019799727","4254244","Jones County","A","+32987856","-083539745","06",,,19126
"G1301710","2000","US","3","5","Georgia","13","Lamar","171",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"478683917","2515258","Lamar County","A","+33077540","-084157856","06",,,16666
"G1301730","2000","US","3","5","Georgia","13","Lanier","173",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"483873307","33685063","Lanier County","A","+31032253","-083064864","06",,,13690
"G1301750","2000","US","3","5","Georgia","13","Laurens","175",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2103767864","16155787","Laurens County","A","+32498107","-082925022","06",,,16763
"G1301770","2000","US","3","5","Georgia","13","Lee","177",,,,,"0",,,,,,,,,,,,,"0120","99","N","9999","9999","9",,,,,,,,,"921438960","16160130","Lee County","A","+31745706","-084178609","06",,,19897
"G1301790","2000","US","3","5","Georgia","13","Liberty","179",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1344337505","216174828","Liberty County","A","+31809525","-081538796","06",,,13855
"G1301810","2000","US","3","5","Georgia","13","Lincoln","181",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"546731047","119627466","Lincoln County","A","+33798883","-082456007","06",,,15351
